iter	RMSE
0	10397.68488
1	10201.87535
2	10008.94412
3	9843.184583
4	9703.381928
5	9543.882924
6	9395.544395
7	9264.260757
8	9135.240687
9	9002.386608
10	8888.462265
11	8783.105643
12	8688.716284
13	8587.012061
14	8473.917606
15	8385.250705
16	8298.106815
17	8224.319218
18	8153.332309
19	8069.915374
20	7983.84747
21	7905.4494
22	7837.478421
23	7766.08727
24	7700.42402
25	7638.773973
26	7586.551085
27	7537.102991
28	7489.642437
29	7443.126069
30	7384.394103
31	7344.05816
32	7295.822204
33	7250.971276
34	7217.095107
35	7180.069521
36	7142.447215
37	7104.612957
38	7071.995326
39	7041.997986
40	7019.725612
41	6995.203259
42	6970.337884
43	6925.770952
44	6887.477836
45	6861.214443
46	6836.914877
47	6816.34042
48	6806.423336
49	6770.726373
50	6746.229812
51	6722.506868
52	6714.718164
53	6696.430541
54	6682.249585
55	6665.781988
56	6641.561384
57	6606.59669
58	6581.21648
59	6551.179381
60	6525.8096
61	6514.983856
62	6497.846195
63	6471.283771
64	6448.5716
65	6424.213539
66	6406.491932
67	6392.57489
68	6369.180317
69	6360.568105
70	6343.861818
71	6331.179001
72	6317.222098
73	6305.251118
74	6282.47235
75	6272.830921
76	6257.294587
77	6247.965808
78	6227.28275
79	6211.046966
80	6193.134036
81	6183.087359
82	6169.911085
83	6147.102499
84	6127.337853
85	6108.938753
86	6092.579521
87	6081.373407
88	6069.55524
89	6061.422686
90	6040.999421
91	6029.650739
92	6017.319711
93	6004.667482
94	5994.987073
95	5984.299838
96	5966.906016
97	5958.100646
98	5942.698803
99	5929.470664
100	5916.921143
101	5909.597206
102	5903.896127
103	5895.931762
104	5884.802
105	5868.554117
106	5856.903129
107	5845.236285
108	5835.077921
109	5819.117637
110	5809.272437
111	5797.383788
112	5790.08425
113	5785.054854
114	5774.672297
115	5766.663595
116	5762.28871
117	5754.832691
118	5744.425531
119	5730.813187
120	5726.968218
121	5723.433041
122	5713.494743
123	5705.672879
124	5700.456559
125	5693.524676
126	5681.434252
127	5667.884985
128	5662.116467
129	5656.874977
130	5646.959198
131	5640.895116
132	5636.969148
133	5622.39025
134	5610.811937
135	5605.544209
136	5598.725582
137	5593.13452
138	5585.984683
139	5580.022412
140	5575.736923
141	5570.485062
142	5561.958324
143	5554.725641
144	5546.884459
145	5543.014221
146	5533.241947
147	5520.797587
148	5510.018718
149	5504.04089
150	5497.565487
151	5488.620022
152	5482.07538
153	5478.14379
154	5468.7403
155	5463.813912
156	5451.383895
157	5443.799026
158	5433.850875
159	5426.159118
160	5417.583034
161	5413.805357
162	5410.114124
163	5406.632061
164	5402.596003
165	5399.207814
166	5394.584575
167	5384.600241
168	5378.981832
169	5373.526727
170	5367.882224
171	5361.61889
172	5358.450921
173	5353.087888
174	5349.128546
175	5341.247046
176	5337.953957
177	5335.123441
178	5331.477696
179	5328.59999
180	5323.21515
181	5319.945679
182	5311.041764
183	5308.506727
184	5297.112474
185	5294.350469
186	5291.066141
187	5287.663071
188	5283.892383
189	5280.265724
190	5277.708276
191	5274.688863
192	5271.451313
193	5263.35207
194	5260.233653
195	5255.865143
196	5252.905567
197	5250.22616
198	5247.490377
199	5244.468552
200	5241.630497
201	5239.730666
202	5232.509707
203	5229.42169
204	5226.789491
205	5223.24919
206	5220.744328
207	5217.027773
208	5213.796223
209	5211.303717
210	5207.929278
211	5205.79472
212	5203.223113
213	5201.003611
214	5199.250009
215	5196.860837
216	5194.716339
217	5192.406961
218	5186.197139
219	5184.57122
220	5181.828459
221	5179.192435
222	5176.903392
223	5170.704038
224	5168.375529
225	5166.140293
226	5163.973516
227	5161.86428
228	5159.764819
229	5157.563278
230	5155.650212
231	5153.612762
232	5151.212051
233	5149.390724
234	5148.068515
235	5145.814133
236	5143.817147
237	5138.630158
238	5136.704857
239	5128.605013
240	5117.818167
241	5116.286115
242	5109.913156
243	5108.040929
244	5106.224759
245	5104.470061
246	5093.865452
247	5092.071243
248	5090.35009
249	5089.149358
250	5081.098411
251	5076.210677
252	5074.540864
253	5073.000103
254	5071.342019
255	5069.734171
256	5068.18624
257	5067.042686
258	5059.749265
259	5049.808469
260	5045.572811
261	5044.073105
262	5042.585095
263	5036.618935
264	5035.548656
265	5034.46365
266	5027.774952
267	5026.716688
268	5025.221542
269	5023.906265
270	5022.50796
271	5021.150367
272	5019.83592
273	5018.411471
274	5017.13833
275	5016.126771
276	5012.266809
277	5006.782502
278	4999.763522
279	4998.600842
280	4997.481594
281	4996.092637
282	4994.024793
283	4984.722894
284	4977.192288
285	4971.011029
286	4969.698289
287	4967.749261
288	4966.586958
289	4963.349816
290	4961.481515
291	4955.829498
292	4954.037856
293	4952.915788
294	4951.829457
295	4946.166627
296	4937.980416
297	4929.390945
298	4922.957047
299	4921.948046
300	4920.20417
301	4919.229673
302	4917.556962
303	4911.928683
304	4903.815537
305	4902.790831
306	4896.612076
307	4893.449643
308	4892.456504
309	4890.852099
310	4885.243882
311	4880.46352
312	4876.305847
313	4875.339707
314	4874.404221
315	4866.173915
316	4858.875357
317	4851.375144
318	4850.463961
319	4843.380472
320	4842.192857
321	4836.486479
322	4832.619256
