,distance
646,6624
647,8608
648,6624
649,6906
650,5091
651,6906
652,8608
653,9091
654,6906
655,14446
656,14446
657,5524
658,5659
659,5524
660,9091
661,9091
662,5921
663,4338
664,6624
665,11824
666,8163
667,6906
668,11824
669,5921
670,9091
671,6980
672,5659
673,6624
674,7633
675,9091
676,5659
677,9091
678,5659
679,6906
680,9091
681,6624
682,7633
683,9091
684,9091
685,5659
686,6624
687,5524
688,9894
689,9091
690,9091
691,6906
692,5008
693,6906
694,5524
695,7633
696,7633
697,7633
698,6906
699,7633
700,6624
701,6980
702,5524
703,6906
704,9091
705,6906
706,5008
707,6980
708,6980
709,14446
710,8465
711,6339
712,5921
713,6980
714,6339
715,5659
716,5009
717,6980
718,6980
719,5659
720,6906
721,6837
722,5659
723,9091
724,4754
725,14446
726,6624
727,2162
728,6339
729,6906
730,6980
731,5659
732,6906
733,14446
734,5524
735,5168
736,5524
737,7633
738,7633
739,8465
740,6980
741,2162
742,6980
743,6980
744,6624
745,5659
746,14446
747,6624
748,6624
749,5659
750,5168
751,6339
752,6906
753,9091
754,5524
755,6980
756,6339
757,6624
758,5659
759,5524
760,5868
761,5009
762,7467
763,7467
764,14446
765,6980
766,9091
767,4142
768,14446
769,6339
770,14446
771,5168
772,5168
773,5524
774,14325
775,14446
776,6339
777,9091
778,5168
779,7633
780,7633
781,5008
782,4338
783,14446
784,6980
785,3213
786,7633
787,3989
788,5524
789,5868
790,6624
791,7633
792,7134
793,5524
794,7633
795,5524
796,7633
797,7633
798,9091
799,14446
800,14446
801,9091
802,5524
803,5524
804,7134
805,8608
806,6906
807,6624
808,7633
809,6624
810,7134
811,9091
812,9091
813,6624
814,6624
815,7633
816,7939
817,6906
818,6906
819,9091
820,5168
821,6624
822,6624
823,9091
824,6906
825,6624
826,5008
827,9091
828,9091
829,6906
830,9091
831,7633
832,6624
833,7633
834,7633
835,6837
836,9091
837,9091
838,6624
839,9091
840,5659
841,6624
842,5524
843,5524
844,6906
845,6906
846,6624
847,9091
848,6906
849,6906
850,6906
851,6980
852,7633
853,6624
854,6906
855,6906
856,6624
857,5524
858,9091
859,9091
860,5009
861,14446
862,6906
863,6906
864,7633
865,7633
866,14446
867,7633
868,14446
869,9091
870,5921
871,5659
872,5008
873,6339
874,5524
875,14446
876,14446
877,5659
878,6624
879,4614
880,7134
881,14446
882,6906
883,7633
884,7633
885,6339
886,9091
887,6624
888,6624
889,6420
890,7633
891,7633
892,14446
893,5524
894,5524
895,6906
896,6837
897,6906
898,9091
899,14446
900,8608
901,7633
902,6906
903,7633
904,7633
905,6980
